date,open,high,low,close,adj_close,volume,dividends,stock_splits
2024-08-20,79.349998,79.790001,78.959999,78.980003,74.533546,5967300,0.000000,0.000000
2024-08-21,79.169998,79.989998,79.129997,79.639999,75.156380,5125300,0.000000,0.000000
2024-08-22,79.680000,79.940002,78.459999,78.919998,74.476913,8006600,0.000000,0.000000
2024-08-23,79.459999,80.320000,79.160004,79.660004,75.175270,5052900,0.000000,0.000000
2024-08-26,80.000000,81.070000,79.959999,80.639999,76.100082,5378700,0.000000,0.000000
2024-08-27,80.360001,80.639999,79.580002,79.610001,75.128067,5086000,0.000000,0.000000
2024-08-28,79.730003,80.129997,79.190002,79.410004,74.939331,5462400,0.000000,0.000000
2024-08-29,79.529999,80.180000,78.709999,80.029999,75.524437,5179200,0.000000,0.000000
2024-08-30,79.589996,80.739998,79.470001,80.510002,76.469498,6808200,0.515000,0.000000
2024-09-03,80.769997,81.180000,79.629997,79.930000,75.918602,9883900,0.000000,0.000000
2024-09-04,80.410004,81.540001,80.320000,81.080002,77.010895,7517700,0.000000,0.000000
2024-09-05,81.959999,82.139999,80.230003,80.330002,76.298523,8494900,0.000000,0.000000
2024-09-06,80.860001,81.190002,79.809998,79.980003,75.966095,8181500,0.000000,0.000000
2024-09-09,80.110001,81.239998,79.260002,81.190002,77.115364,6918000,0.000000,0.000000
2024-09-10,81.470001,82.389999,81.050003,82.300003,78.169647,9588000,0.000000,0.000000
2024-09-11,82.699997,83.570000,81.730003,83.430000,79.242935,10216500,0.000000,0.000000
2024-09-12,83.430000,83.970001,82.709999,83.459999,79.271446,7856600,0.000000,0.000000
2024-09-13,83.900002,84.730003,83.500000,84.650002,80.401726,6734400,0.000000,0.000000
2024-09-16,85.089996,85.559998,84.370003,84.639999,80.392227,8791400,0.000000,0.000000
2024-09-17,84.790001,85.000000,84.180000,84.970001,80.705673,7415100,0.000000,0.000000
2024-09-18,84.489998,84.989998,83.510002,84.279999,80.050285,9286200,0.000000,0.000000
2024-09-19,83.629997,83.800003,81.470001,82.290001,78.160156,13965200,0.000000,0.000000
2024-09-20,82.250000,83.760002,82.050003,82.760002,78.606583,26032300,0.000000,0.000000
2024-09-23,83.660004,84.940002,82.940002,84.820000,80.563194,7916000,0.000000,0.000000
2024-09-24,84.199997,85.269997,83.919998,84.290001,80.059792,8205300,0.000000,0.000000
2024-09-25,84.610001,85.209999,83.849998,84.620003,80.373230,8354700,0.000000,0.000000
2024-09-26,84.250000,84.599998,83.239998,83.459999,79.271446,8462500,0.000000,0.000000
2024-09-27,83.769997,84.839996,83.760002,84.540001,80.297241,8200900,0.000000,0.000000
2024-09-30,84.500000,84.949997,84.010002,84.529999,80.287743,13884400,0.000000,0.000000
2024-10-01,84.110001,85.750000,83.820000,85.269997,80.990601,9112600,0.000000,0.000000
2024-10-02,84.769997,85.589996,84.489998,85.430000,81.142570,8403800,0.000000,0.000000
2024-10-03,85.650002,86.099998,84.750000,85.050003,80.781647,7031500,0.000000,0.000000
2024-10-04,83.489998,84.080002,83.010002,83.849998,79.641869,8341800,0.000000,0.000000
2024-10-07,83.550003,83.550003,80.190002,80.290001,76.260536,11971600,0.000000,0.000000
2024-10-08,80.779999,81.809998,80.489998,80.500000,76.459999,10098300,0.000000,0.000000
2024-10-09,79.660004,81.099998,79.660004,80.580002,76.535980,10102500,0.000000,0.000000
2024-10-10,81.000000,82.559998,80.820000,80.940002,76.877899,7928400,0.000000,0.000000
2024-10-11,80.980003,81.879997,80.389999,81.860001,77.751740,7057000,0.000000,0.000000
2024-10-14,81.900002,83.190002,81.610001,82.910004,78.749046,5815200,0.000000,0.000000
2024-10-15,83.000000,84.050003,82.669998,82.790001,78.635071,15824900,0.000000,0.000000
2024-10-16,83.080002,84.639999,82.730003,84.389999,80.154762,8061600,0.000000,0.000000
2024-10-17,84.300003,84.629997,83.699997,83.779999,79.575386,6153000,0.000000,0.000000
2024-10-18,83.919998,84.410004,83.550003,84.379997,80.145264,8595300,0.000000,0.000000
2024-10-21,84.760002,84.959999,83.660004,84.029999,79.812836,7053800,0.000000,0.000000
2024-10-22,83.199997,84.230003,83.139999,83.699997,79.499390,8358500,0.000000,0.000000
2024-10-23,84.589996,86.000000,83.000000,84.959999,80.696159,10825100,0.000000,0.000000
2024-10-24,84.000000,84.550003,82.500000,82.809998,78.654053,9705100,0.000000,0.000000
2024-10-25,82.900002,83.129997,81.290001,81.430000,77.343315,6580700,0.000000,0.000000
2024-10-28,82.040001,83.839996,81.610001,82.870003,78.711067,8679600,0.000000,0.000000
2024-10-29,79.949997,80.699997,79.470001,79.559998,75.567169,19232900,0.000000,0.000000
2024-10-30,79.750000,79.889999,78.889999,79.089996,75.120743,11650200,0.000000,0.000000
2024-10-31,78.389999,79.849998,78.139999,79.250000,75.272728,13034700,0.000000,0.000000
2024-11-01,79.389999,79.459999,76.970001,77.349998,73.468079,14615300,0.000000,0.000000
2024-11-04,77.349998,78.820000,77.099998,78.370003,74.436897,11759100,0.000000,0.000000
2024-11-05,77.769997,78.790001,76.970001,78.650002,74.702843,9051700,0.000000,0.000000
2024-11-06,74.300003,74.980003,72.690002,74.519997,70.780121,28637800,0.000000,0.000000
2024-11-07,73.610001,75.089996,73.570000,74.620003,70.875084,16311300,0.000000,0.000000
2024-11-08,74.980003,77.190002,74.680000,76.970001,73.107155,14657100,0.000000,0.000000
2024-11-11,76.980003,77.150002,75.739998,75.910004,72.100349,10275700,0.000000,0.000000
2024-11-12,75.610001,75.800003,73.620003,74.260002,70.533157,12569800,0.000000,0.000000
2024-11-13,74.629997,75.040001,73.919998,74.239998,70.514160,12451500,0.000000,0.000000
2024-11-14,73.879997,76.180000,73.650002,75.279999,71.501961,13780200,0.000000,0.000000
2024-11-15,75.449997,76.690002,75.290001,76.349998,72.518272,12930300,0.000000,0.000000
2024-11-18,76.300003,76.669998,75.309998,76.389999,72.556267,9044300,0.000000,0.000000
2024-11-19,76.309998,77.320000,75.720001,77.080002,73.211632,7942200,0.000000,0.000000
2024-11-20,77.190002,77.500000,76.360001,76.879997,73.021675,7065200,0.000000,0.000000
2024-11-21,76.790001,77.510002,76.360001,77.360001,73.477577,8908500,0.000000,0.000000
2024-11-22,77.230003,77.540001,75.760002,76.000000,72.669609,8165400,0.515000,0.000000
2024-11-25,76.730003,77.099998,75.830002,76.639999,73.281555,20803100,0.000000,0.000000
2024-11-26,77.000000,77.779999,76.470001,77.489998,74.094322,10563600,0.000000,0.000000
2024-11-27,78.129997,79.379997,77.860001,78.519997,75.079178,8689700,0.000000,0.000000
2024-11-29,78.580002,78.989998,78.320000,78.669998,75.222610,6186500,0.000000,0.000000
